item_name,dimension,a,b,retention_reason
TQ_ICR-D-i1,common,0.56378424,0.8613725900650024,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i2,common,0.6590872,1.4491002559661863,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i3,congruent,1.3532602,0.5141497254371643,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i4,congruent,0.40709907,2.3057124614715576,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i5,incongruent,0.4292574,2.9740238189697266,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-D-i6,incongruent,0.8577619,1.2442114353179932,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i1,common,1.4655149,-1.7881734371185305,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i2,common,0.6001493,-2.6263389587402344,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i3,congruent,0.9987993,-2.942051887512207,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i4,congruent,1.3182359,-2.130481243133545,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i5,incongruent,1.3777704,-1.766034483909607,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-N-i6,incongruent,1.1794506,-1.9994089603424072,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i1,common,0.61635953,2.2351088523864746,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i3,congruent,0.46674755,1.318400263786316,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-O-i4,congruent,0.4446776,2.275878667831421,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i1,common,2.9708393,-0.1710650026798248,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i2,common,0.91254324,-0.9379600882530212,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i3,congruent,1.7266448,-0.5051335692405701,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i4,congruent,0.72775817,-0.7351970076560974,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i5,incongruent,2.574154,-0.0509143620729446,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_ICR-U-i6,incongruent,1.1172054,-0.43625608086586,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-D-i1,common,0.47042695,1.4524388313293457,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-D-i2,common,0.52409136,1.8058921098709104,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-D-i3,congruent,1.0621338,0.6749480366706848,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i1,common,1.3591099,-0.2710490524768829,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i2,common,0.626786,-0.1316135227680206,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i3,congruent,1.0584774,-0.3457880020141601,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i4,congruent,0.59247965,-0.6498367190361023,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i5,incongruent,1.3781028,0.5182695984840393,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-N-i6,incongruent,0.8344754,0.5835800170898438,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-O-i3,congruent,0.45168495,1.004123330116272,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i1,common,1.4968914,0.0148754594847559,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i2,common,0.6888598,-0.1926475614309311,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i3,congruent,1.1548183,-0.0603906624019146,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i4,congruent,0.4949107,-0.1009296551346778,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i5,incongruent,1.1298772,0.3256699442863464,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IFR-U-i6,incongruent,0.56187636,0.3671265244483948,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i1,common,0.68102264,0.8384969830513,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i2,common,0.50761765,1.4564088582992554,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i3,congruent,1.340259,0.3449805676937103,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-D-i6,incongruent,0.8705277,1.081608772277832,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-N-i1,common,1.3458557,-2.589712619781494,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-N-i4,congruent,1.1579921,-1.995888352394104,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-O-i1,common,0.52426094,2.301918029785156,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-O-i3,congruent,0.44200608,1.3578728437423706,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i1,common,2.091283,-0.3113398551940918,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i2,common,0.7718876,-1.549038052558899,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i3,congruent,1.9273977,-0.5085328817367554,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i4,congruent,0.7930797,-0.6768673658370972,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i5,incongruent,2.3079934,-0.1795136630535125,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
TQ_IRE-U-i6,incongruent,0.86983234,-0.7828729152679443,"Meets D039 thresholds (a >= 0.4, |b| <= 3.0)"
