UID,Total_Intercept,Total_Slope
A010,1.5130959641669106,0.0700275820211976
A011,0.7299862383966834,0.0758349689633162
A012,1.0337000054506458,0.0752580900156745
A013,0.520922769098687,0.0789546680086063
A014,1.2112862635760164,0.071456707061643
A015,2.0173878733235755,0.0667016404103386
A016,0.8069268700511564,0.0740890008286143
A017,0.9192938361800924,0.0758644223981031
A018,0.6037089180476652,0.0783865049599273
A019,-0.297298628789432,0.0841022145587535
A020,-0.1092613893630326,0.0809910583688367
A021,1.3622609657087703,0.0724725246620712
A022,0.7549062525301631,0.0772905662365634
A023,0.7752534215773375,0.0769784852053531
A024,0.655569079491537,0.077128974131958
A025,0.971940897323256,0.0724775914221787
A026,1.0258180148467866,0.0743731102035543
A027,0.632318518428747,0.0760668301715973
A028,0.7727668388239111,0.0750502852106532
A029,1.5789638132487158,0.0711931342324019
A030,1.0596867115244215,0.0749205913186723
A031,1.055198222927388,0.0722416171731812
A032,1.3556687899479725,0.0743312515545835
A033,1.0082640696573495,0.0746264769397493
A034,1.2081721310613067,0.0716106215522772
A035,0.5477082005061031,0.0775049364116137
A036,0.6088401334135868,0.0760753354865463
A037,1.2203349492236346,0.072107788853554
A038,1.1909395509026095,0.072944861022538
A039,1.761055533201329,0.068933270609143
A040,-0.127635120096857,0.0821020224803193
A041,0.7736200763988094,0.0770998584659177
A042,-0.0529676601807644,0.0833319717768652
A043,1.0527601575997845,0.0736157687958804
A044,-0.0316242010182177,0.0809149343107573
A045,-0.2772561113765518,0.0849598773101029
A046,-0.4015334305881473,0.0859586514312135
A047,-0.2312352075116025,0.0836031130834629
A048,0.939307919487362,0.0755136680363478
A049,1.1444518773260015,0.073420918348569
A050,-0.0122588248655022,0.0825170803928401
A051,0.600758010216443,0.0765193903879737
A052,0.7533881270793482,0.0757275569208094
A053,1.0981529863226802,0.0728315703065812
A054,1.506633639957868,0.0728296476647857
A055,0.7528188660510714,0.0760012609060941
A056,0.6294441656091526,0.0763343017895764
A057,0.2195375979237167,0.079984717156228
A058,0.4326317347430892,0.0780473727182357
A059,1.54868278581812,0.0709581818255833
A060,0.8849699204042645,0.0760468934862097
A061,1.4715029373978163,0.068782121097948
A062,0.8230034732698674,0.0741734129460052
A063,0.908797775502551,0.0744690451897161
A064,0.982788900429168,0.0743970135319238
A065,-0.988349778175594,0.089497457997351
A066,0.1915839136570532,0.0796457179981935
A067,-0.0383946545458996,0.0816699699872624
A068,1.0232853659486736,0.0738147184170285
A069,-0.3632149186991522,0.0852590012023686
A070,0.494097677311461,0.0774473566025064
A071,0.8616690560192204,0.0755604621282455
A072,0.7718451962090545,0.0759304455826986
A073,1.020606479903301,0.0757713134352713
A074,0.4644297879079203,0.0769646177813064
A075,0.4323260599441137,0.0785891232892467
A076,-0.3797026805889978,0.0831255246257147
A077,1.1549449637641294,0.074097294646832
A078,0.2324238182249672,0.0797670297544932
A079,0.2969032082625957,0.0794188274754092
A080,0.7236031375988378,0.0762720875867827
A081,0.9976969990356696,0.0760117538742082
A082,1.1098418751178178,0.0739222607168015
A083,1.3266136561901347,0.0709547057378899
A084,0.6748629988491733,0.0784148295090884
A085,0.9692060911920224,0.0739594929423644
A086,0.3516183069747168,0.0777521959777947
A087,1.1868317932999175,0.0729870231991134
A088,2.026268804900756,0.0664249529845539
A089,1.4471302185239288,0.0709506867979725
A090,0.0279373147113022,0.0811003626009767
A091,0.3323688020590932,0.0790137906259887
A092,0.0203313502832788,0.081902951702273
A093,1.061153380304578,0.0755841464728495
A094,-0.1560860097970753,0.0832924895457688
A095,0.6816580955725935,0.0755691502821386
A096,-0.4970872488586941,0.0857835750897643
A097,0.771333309459878,0.0779421754758125
A098,0.982246107573798,0.0745537771594479
A099,1.3310879479110966,0.0726217461313157
A100,0.90478903304199,0.0763622075480461
A101,-0.288536880395307,0.0849973063195877
A102,0.6895602871556068,0.0768187168061965
A103,0.267100486352406,0.0782809524634402
A104,0.7268238203339459,0.0736390557673233
A105,0.8959976464909971,0.0761690666565461
A106,1.2208173302505954,0.0745405962298753
A107,-0.3492738675896303,0.0856299189311926
A108,-0.0109090675110985,0.0828337378660087
A109,0.0313174325339761,0.082115020105365
