UID,intercept,slope,intercept_z,slope_z
A010,0.1068199345961465,0.0540005041435984,0.4153891605264269,0.5313782475656522
A011,0.040828476653632,0.0802893652019194,0.15876911652159803,0.7900671087385075
A012,0.0913939562997862,0.0575093044337072,0.3554023781056189,0.5659057057585939
A013,-0.0787894891630478,-0.033980592322105,-0.30638756600516553,-0.3343773893544941
A014,0.1478194614755265,0.0626094586366361,0.574823437628303,0.6160924780053901
A015,0.3394172757172741,0.1408402424719638,1.3198871330656223,1.3859026395838867
A016,-0.1448097961419019,-0.0163409507804607,-0.5631197948473321,-0.16079897636117024
A017,0.5669907930847401,0.1341883808638042,2.204849033620165,1.3204466846729153
A018,0.1819337519084208,0.0693262611419167,0.7074831936789855,0.682187467322702
A019,-0.9221769416013692,-0.3977986828262175,-3.5860563580839213,-3.9144369171445716
A020,-0.0638183221598634,0.0141597455774764,-0.2481694017920408,0.1393353804795337
A021,0.2156475939439285,0.0490098843326165,0.8385857317417198,0.48226932068648787
A022,-0.3501844746880475,-0.1252505330082179,-1.3617573865777581,-1.232496062621678
A023,0.1319588691940268,0.009079436633623,0.5131465779843378,0.08934389046495478
A024,0.0137817875246792,-0.0147919282803178,0.053593041149799236,-0.14555621382367873
A025,-0.1167246081487646,0.0065834581547815,-0.45390532371137043,0.0647828480991011
A026,0.1457441090690099,0.0295711374049343,0.5667530442396655,0.29098726802571695
A027,-0.0223361069979664,0.0203686973982522,-0.08685810163048278,0.20043299410495263
A028,0.2059389625056778,0.1087203024987844,0.8008319147389062,1.0698345271552485
A029,0.2880795858545966,0.1289482126286274,1.1202509885945797,1.2688821398984287
A030,0.0605890286128474,-0.01450575791597,0.2356116939010961,-0.14274022702644462
A031,0.0950646195756241,0.1086438115633322,0.3696764341841039,1.0690818375298488
A032,0.0492759760269462,0.0146089192629148,0.191618787198658,0.1437553600631717
A033,0.1326257435658831,0.0337370656719853,0.5157398428702346,0.33198102719772643
A034,0.3480601985793931,0.1279015282276329,1.3534967442843862,1.2585825078565545
A035,-0.0246569116014858,-0.0102042200060213,-0.09588298148691145,-0.10041203560164799
A036,-0.549405214453347,-0.2246642928342592,-2.1364642440892276,-2.2107519200077212
A037,0.1554169565811181,0.0704123426817881,0.6043677087977891,0.6928747769047678
A038,0.2350904258455925,0.062116671804206,0.9141927956518674,0.6112433343243644
A039,0.4214861611331776,0.1511647161281304,1.639027240641399,1.4874980006913054
A040,0.0545197908303833,-0.0203151488424896,0.21201033524997429,-0.19990606314065681
A041,0.2716484835586012,0.1052658915237233,1.0563555947707421,1.0358422732048356
A042,-0.2048692054266233,-0.0960605023499865,-0.7966719655991148,-0.9452589787546114
A043,0.4494640185693611,0.1787779962341394,1.7478243369669337,1.759219471165947
A044,-0.447877941229763,-0.1787251280083947,-1.7416565805728053,-1.7586992348164225
A045,-0.1455694963957778,-0.0955276308971294,-0.5660740304205171,-0.9400153925457864
A046,-0.4259337340236918,-0.1169659457816697,-1.6563224540896693,-1.150973685894574
A047,-0.3779614765276847,-0.0963524660623998,-1.4697734186014675,-0.94813197352226
A048,0.1170815227638988,0.0335035509424132,0.45529325249939,0.3296831848025736
A049,0.2462420198104295,0.1010667617386125,0.9575578405107538,0.9945218029259034
A050,0.0049413792043513,0.0082241105628993,0.019215471038234,0.08092727147655124
A051,0.1778434699748036,0.0681295234114135,0.6915773724935927,0.6704112735979277
A052,-0.0664815647115687,-0.0151333331271784,-0.25852591522760543,-0.14891572151925106
A053,-0.2967123810716123,-0.0248875623770632,-1.1538212165838593,-0.24489973736055237
A054,0.3894143134619401,0.1312541285127582,1.5143099027114115,1.291572919567538
A055,-0.1393101461998268,-0.0014894934509382,-0.5417333843307487,-0.01465698204622896
A056,-0.1366806661787728,-0.079794737131686,-0.5315081627679747,-0.785199846824461
