UID,random_intercept,random_slope
A010,0.10681993459614655,0.05400050414359842
A011,0.040828476653632095,0.0802893652019194
A012,0.09139395629978621,0.05750930443370724
A013,-0.07878948916304782,-0.033980592322105
A014,0.14781946147552655,0.06260945863663613
A015,0.3394172757172741,0.1408402424719638
A016,-0.14480979614190195,-0.016340950780460786
A017,0.5669907930847401,0.13418838086380422
A018,0.18193375190842084,0.06932626114191678
A019,-0.9221769416013693,-0.3977986828262175
A020,-0.06381832215986345,0.014159745577476417
A021,0.21564759394392857,0.04900988433261652
A022,-0.3501844746880475,-0.12525053300821798
A023,0.13195886919402683,0.009079436633623011
A024,0.013781787524679215,-0.014791928280317819
A025,-0.11672460814876465,0.006583458154781501
A026,0.14574410906900995,0.02957113740493436
A027,-0.02233610699796642,0.02036869739825229
A028,0.2059389625056778,0.1087203024987844
A029,0.28807958585459664,0.1289482126286274
A030,0.06058902861284747,-0.014505757915970018
A031,0.09506461957562412,0.10864381156333221
A032,0.04927597602694626,0.014608919262914835
A033,0.13262574356588316,0.03373706567198532
A034,0.34806019857939313,0.12790152822763295
A035,-0.024656911601485868,-0.010204220006021393
A036,-0.549405214453347,-0.22466429283425926
A037,0.15541695658111818,0.07041234268178817
A038,0.23509042584559253,0.06211667180420606
A039,0.42148616113317766,0.1511647161281304
A040,0.054519790830383316,-0.02031514884248966
A041,0.2716484835586012,0.10526589152372333
A042,-0.20486920542662337,-0.09606050234998659
A043,0.44946401856936113,0.17877799623413945
A044,-0.44787794122976304,-0.1787251280083947
A045,-0.14556949639577782,-0.09552763089712947
A046,-0.4259337340236918,-0.11696594578166973
A047,-0.3779614765276847,-0.0963524660623998
A048,0.1170815227638988,0.03350355094241326
A049,0.24624201981042956,0.10106676173861258
A050,0.0049413792043513155,0.008224110562899303
A051,0.1778434699748036,0.06812952341141351
A052,-0.06648156471156873,-0.015133333127178477
A053,-0.29671238107161235,-0.02488756237706328
A054,0.38941431346194016,0.13125412851275825
A055,-0.13931014619982685,-0.0014894934509382396
A056,-0.1366806661787728,-0.07979473713168604
A057,0.06486645717852801,-0.0005504282027308365
A058,-0.0024205174433056475,0.030786556452975438
A059,-0.0014659368179393286,-0.017041756209708183
A060,0.18873861985108703,0.017913555556231715
A061,0.5289355568363013,0.2200236411975393
A062,0.0040983525293822485,0.027416166371710498
A063,-0.5712235401645778,-0.22345531108178543
A064,0.11669183519200058,0.05442209265840173
A065,-0.0908285140544597,-0.07443228539777189
A066,-0.14894022816099098,-0.06845867634712477
A067,-0.12430870312728502,-0.03788526228391622
A068,0.35762216513669054,0.14293989990128728
A069,-0.17140634649096345,-0.08169899802267921
A070,-0.08557079006663934,-0.0317124772442851
A071,-0.1175309898942696,0.02285258281483471
A072,0.18839509110364758,0.07681673386605614
A073,-0.18229087297320634,-0.08474162120537139
A074,0.04553620823050186,0.04774886305507792
A075,0.006894566647752465,-0.017883972520230957
A076,-0.25721559160418567,-0.11842985904188388
A077,0.0976505251272151,0.04281343233256267
A078,-0.29004493804882603,-0.13279603930874925
A079,0.10260158079146303,-0.0004908137734360687
A080,0.01192072006976933,0.04258296669606172
A081,0.14310176937702007,0.04417222509871645
A082,0.06183655129168706,0.034053514692556804
A083,0.21183557940913902,0.09336819907821142
A084,-0.540655162711498,-0.25166577784672783
A085,0.2250960611173315,0.03200271315877068
A086,0.15085675090999645,0.07072701077947766
A087,0.2680088431443273,0.08937636705879816
A088,0.22320391681506846,0.05906364869530461
A089,0.12953589342402747,0.06363185857805635
A090,-0.4183413916170444,-0.2599180904813018
A091,0.04879569337280461,0.022478571670308225
A092,-0.07665129417735217,-0.010940408136079818
A093,-0.1989923127084388,0.008602821006796204
A094,-0.2504445399581958,-0.09427679286653474
A095,0.02511609263847584,0.04718392728048145
A096,-0.16013996496512248,-0.011627890803804032
A097,-0.30952969589179236,-0.11368522384768857
A098,0.16491614949644953,0.03944779491591852
A099,0.3810070364883551,0.0862924955203695
A100,-0.18082306102711326,-0.05876502291327332
A101,-0.2011267353939051,-0.13107756516412053
A102,-0.014443906614770857,-0.01371936537784371
A103,-0.04117787591607461,-0.10319157428763343
A104,0.2292192154468447,0.08582391823692283
A105,0.20875428831268036,0.12707110759447462
A106,0.18476359160206807,0.06428727636302603
A107,-0.36358556570369294,-0.09411104797928314
A108,-0.29589112639512577,-0.09904919318248907
A109,-0.44576969881453843,-0.15951699089056537
