UID,location_type,random_intercept,random_slope
A010,Source,0.19371786057012869,0.06270253920424984
A011,Source,0.24667686628987517,-0.05712469315459647
A012,Source,0.278428343179236,0.17345096010664332
A013,Source,-0.05231764821606763,-0.07557476752932255
A014,Source,0.3370825277299089,0.005207810278657641
A015,Source,0.7099422246901078,0.06215369934961174
A016,Source,0.18604792681872978,-0.12715935195973538
A017,Source,0.7807649755462053,0.2852235728629932
A018,Source,0.23853751100634085,-0.17474119099917632
A019,Source,-1.2449316699503121,0.1646427000749902
A020,Source,0.07976401055380157,-0.30916661736913936
A021,Source,0.3828204033380133,0.25521462717566734
A022,Source,-0.40613777710001947,-0.048322226148624664
A023,Source,0.22161907347348106,0.09221161161171769
A024,Source,0.21580268763388952,-0.1307884687602964
A025,Source,0.41860741976279714,-0.32839119724956906
A026,Source,0.09981450372927388,0.2065460075096357
A027,Source,0.09311844532726292,-0.24135488459657775
A028,Source,0.18216209432357633,-0.25428613247246
A029,Source,0.7851239417870465,-0.09915339224742276
A030,Source,0.25999830354716735,0.26570084939688404
A031,Source,0.3330598246426793,-0.21017696859843046
A032,Source,0.446818372486715,0.039335300376705365
A033,Source,0.23445903620685005,0.17769736071474979
A034,Source,0.7180507465143305,-0.030844356501306774
A035,Source,0.1115497208349729,-0.07275107805937724
A036,Source,-1.116400872451324,0.21324675573072197
A037,Source,0.1829878049060908,-0.13519423401489986
A038,Source,0.26284897797110085,0.2464472368897886
A039,Source,0.786505079837699,0.0003034941216108498
A040,Source,0.09421928756824402,0.01919987089693019
A041,Source,0.5101628747363911,0.10482357169522323
A042,Source,-0.916718401995913,0.19470614674059566
A043,Source,0.7361088694406351,-0.10718388019271731
A044,Source,-0.7294298150518002,-0.005293658997038085
A045,Source,-0.07589363529005849,0.17416168993791098
A046,Source,-0.573501673254485,0.10955649925774325
A047,Source,-0.5221542944154086,-0.10330581081718784
A048,Source,0.2359736244344116,0.03691559533069397
A049,Source,0.4232086303009748,0.0686722423156984
A050,Source,0.09787672038284467,-0.2678501100928267
A051,Source,0.31642342478743835,-0.05944004343850329
A052,Source,-0.0034171336208821223,0.11384547846813788
A053,Source,-0.6814000810121851,-0.31116554492758614
A054,Source,0.7495050327228089,0.18547314677539334
A055,Source,-0.24944190232954433,-0.26327292670206137
A056,Source,-0.29677722714211574,-0.19243167278968598
A057,Source,-0.13607631734182182,-0.2576195814289105
A058,Source,-0.002924766096744874,-0.1089776453524684
A059,Source,0.07222217691066088,0.23746658857460387
A060,Source,0.08273082014754464,0.3959182231358887
A061,Source,0.7086976407935975,-0.017422398500644438
A062,Source,0.2201474366657905,-0.21434258076651835
A063,Source,-0.8593366629056307,-0.022493035544615854
A064,Source,0.2216203873134771,-0.08170112007028013
A065,Source,-0.5988641344978863,-0.06565999610115533
A066,Source,-0.2182549033316349,-0.011903710118332677
A067,Source,-0.6104304705447345,-0.0604073452454944
A068,Source,0.6638070591256797,-0.007129111107874944
A069,Source,-0.9185336619819695,0.08225159041077522
A070,Source,0.012537614787703027,-0.3242474140956345
A071,Source,0.1832236857033802,-0.054732619890134025
A072,Source,0.4694960009729902,-0.1660382192100148
A073,Source,-0.18067319363423012,0.11866677405123391
A074,Source,0.23131707805583704,0.02336825362245118
A075,Source,-0.17599392123500832,0.16367725647372422
A076,Source,-0.6558036802027656,0.01987201843854236
A077,Source,0.27704992188421856,0.08139553206301793
A078,Source,-0.5373136138990798,-0.06896629522782714
A079,Source,0.04001851039488287,0.03860401583468551
A080,Source,0.19716782483351117,-0.16869504874794292
A081,Source,0.24962879856399864,-0.08973281052271864
A082,Source,0.21848949254350827,-0.0972429508293738
A083,Source,0.24183789836251604,-0.022999616507929258
A084,Source,-0.8423669258591661,0.2905170900667943
A085,Source,0.5121351574843487,0.031668226424785346
A086,Source,0.423234277144239,-0.21554713475154139
A087,Source,0.4219936524196364,0.1697324870005584
A088,Source,0.31959793855702573,0.15067629332533775
A089,Source,0.5095464024663132,0.04532964907168984
A090,Source,-1.0429280315982066,0.058197476328991124
A091,Source,-0.1417144267290008,0.07288995054915019
A092,Source,0.19769671537914715,-0.262604411486171
A093,Source,-0.3777381264602102,-0.3341183626474165
A094,Source,-0.803164314749114,0.060972639661517294
A095,Source,0.1157610889049531,-0.06121459177792605
A096,Source,0.09481825134389334,0.08833231469756328
A097,Source,-0.9956339770454206,0.10411467018471476
A098,Source,0.5805676880053869,0.043123912287231954
A099,Source,0.3633708345592987,0.31309635051022294
A100,Source,-0.5188915200112736,-0.08164145573605312
A101,Source,-0.719186844787325,-0.12600422426421184
A102,Source,0.10995740326136427,0.13446484589215182
A103,Source,-1.0653670623335902,0.16724492910142003
A104,Source,0.45405684121883033,-0.30668768733273855
A105,Source,0.6174580515072683,-0.08202146536179857
A106,Source,0.07773048578903596,0.15743362773084238
A107,Source,-1.232714160926119,0.22402154199443733
A108,Source,-0.3711149621856207,0.19032443420854772
A109,Source,-0.9641564719943905,0.19432458178042483
A010,Destination,0.24652217132750273,-0.10126502029431486
A011,Destination,0.5790047936649185,-0.2546388069806218
A012,Destination,0.0598568612158033,0.1381270756741021
A013,Destination,0.1650370557948482,-0.1605043636247952
A014,Destination,0.32283182845061265,-0.1586677181471769
A015,Destination,0.4681068862691365,-0.16519903699489344
A016,Destination,0.2644049506855087,-0.009587063916943589
A017,Destination,0.9433521816684408,0.001857355388352657
A018,Destination,0.26241890492012204,-0.24791230655415233
A019,Destination,-1.1372956623985113,0.20789059826357006
A020,Destination,0.05240033543496983,-0.23811070629181574
A021,Destination,0.04824078116919375,0.03917680703070316
A022,Destination,-0.5902155099192931,0.039261052121896886
A023,Destination,0.24911819102484237,0.07683354502433284
A024,Destination,-0.03347505411748549,0.23805498798196154
A025,Destination,0.08414037884821055,-0.21704922623921152
A026,Destination,0.3825001504458591,0.10825592211818544
A027,Destination,0.26074386947048955,-0.2913702081337621
A028,Destination,0.4754440197475199,-0.23545052136954092
A029,Destination,0.5444840846237641,-0.05014288922195449
A030,Destination,-0.10966794238877989,0.14887012957002602
A031,Destination,0.6078188580444234,-0.2539778632144233
A032,Destination,0.3403716453584323,0.11474206657976382
A033,Destination,0.11225727568022528,0.030942229463648153
A034,Destination,0.6437203195333061,-0.17626913624379706
A035,Destination,0.15660045106497425,-0.15046754319348551
A036,Destination,-1.0080478096488172,0.17743579853210137
A037,Destination,0.11776749373840265,-0.06453050068098552
A038,Destination,0.4900729820603975,0.037494392676590396
A039,Destination,0.8165006382304528,0.08861689785784364
A040,Destination,0.19228196265038397,-0.04468099194883585
A041,Destination,0.1992821430646124,0.036484032435929126
A042,Destination,-0.8143842819425424,0.40577705499510613
A043,Destination,0.9414877506127817,-0.021264787261608277
A044,Destination,-0.7347674633393139,0.06297900958437395
A045,Destination,0.3368413704294868,-0.09754740225171846
A046,Destination,-0.6710788912031574,0.1228173458395041
A047,Destination,-0.605277694464897,-0.012708041601251299
A048,Destination,0.2672257738622574,0.15277813668706047
A049,Destination,0.13123520772331557,0.14144581798397668
A050,Destination,0.0944554572912845,-0.19263708561278534
A051,Destination,0.5440332274380785,-0.08366359746145664
A052,Destination,-0.10942144766065354,0.2654831241210392
A053,Destination,-0.785089184639788,-0.13877244907473818
A054,Destination,0.3695405292363264,0.0239341563844272
A055,Destination,-0.3273074612552994,-0.16218206914932068
A056,Destination,-0.27261695937588437,-0.10030635189030764
A057,Destination,-0.24812886743270401,-0.12549542376910713
A058,Destination,0.2552076741601693,-0.09064159807671313
A059,Destination,-0.2577468287071895,0.22874918381786635
A060,Destination,0.42846523527878555,0.27485362415776715
A061,Destination,1.0907414324667077,-0.037052634449667096
A062,Destination,0.08223840739840571,-0.19986013459627436
A063,Destination,-0.8594839920012968,0.04196292490529629
A064,Destination,0.20981457134723566,0.13847312535687878
A065,Destination,-0.45950031951868003,-0.09281885427483536
A066,Destination,-0.36089072127754707,0.0029827913439679087
A067,Destination,-0.7374714292307224,0.1796857183394259
A068,Destination,0.639675892765671,-0.17116542604701232
A069,Destination,-0.659171592511186,0.01216991149416282
A070,Destination,0.006383092987336262,-0.26293370651045606
A071,Destination,-0.09432685041152747,-0.04712926754597791
A072,Destination,0.6156071057783268,0.005206875327635622
A073,Destination,-0.34238622107316175,0.04013990552419758
A074,Destination,0.3559268332196794,0.09283947851064991
A075,Destination,-0.2735177762791635,0.19331265905177555
A076,Destination,-0.6854685473768888,0.056205452566621586
A077,Destination,0.02855897393503594,0.1391321806939737
A078,Destination,-0.635657952910911,0.06173312999130695
A079,Destination,0.10931424591153618,0.06329093782785157
A080,Destination,0.402658381861172,-0.09532476342683457
A081,Destination,0.2080951977756184,-0.10482219824032123
A082,Destination,-0.15081699405100313,-0.018969998275210335
A083,Destination,0.1898363446378048,0.09323352347733962
A084,Destination,-0.78379939858325,0.2136522062758079
A085,Destination,0.6307840646136275,-0.1969224132639672
A086,Destination,0.3334705566754412,-0.14449916534259874
A087,Destination,0.6520772082105064,-0.1347846646752842
A088,Destination,0.5695601852071038,0.11862942629050093
A089,Destination,0.2574773101345294,0.016417099862472563
A090,Destination,-1.023567698311127,0.10132423222818009
A091,Destination,0.03802973216549649,0.12354668289366556
A092,Destination,0.01035786313768689,-0.13505833896359423
A093,Destination,-0.34942828212294047,-0.2753840752369869
A094,Destination,-0.7936624086313252,0.18394388359918876
A095,Destination,-0.053202951016020995,-0.11121448794648862
A096,Destination,0.2862321987567715,-0.01422761561976848
A097,Destination,-0.9539859221382718,0.13582318757309297
A098,Destination,-0.015220706131059284,0.1430119547349763
A099,Destination,0.5349494336041409,0.1962895171919028
A100,Destination,-0.31543376525524075,-0.07229948064873036
A101,Destination,-0.5615712167181266,-0.09366571254236958
A102,Destination,0.07088428220156728,0.09827405499026579
A103,Destination,-0.9178106427946405,0.16326281962167732
A104,Destination,0.42794437844267214,-0.24897823664187174
A105,Destination,0.5513731206567182,-0.07138473261046664
A106,Destination,0.2518893278927427,0.15775614079365471
A107,Destination,-1.1578193207872551,0.22885272512827792
A108,Destination,-0.24613352977326475,0.04038931740327067
A109,Destination,-0.8728042846044449,0.16913640877028818
